LSOA_CODE,PCN_NAME,PCN_Patients,PCN_Total,Proportion_PCN,LSOA_Population,Proportion_LSOA,CumulativePatients,CumulativePercent,SUB_ICB_LOCATION_NAME
E01014360,About Better Care (ABC) PCN,1513,49608,0.030499113046282857,2960,0.5111486486486486,1513,3.0499113046282855,Stoke-on-Trent
E01034053,About Better Care (ABC) PCN,1324,49608,0.026689243670375746,2317,0.5714285714285714,2837,5.71883567166586,Stoke-on-Trent
E01014357,About Better Care (ABC) PCN,1269,49608,0.02558055152394775,1734,0.7318339100346021,4106,8.276890824060636,Stoke-on-Trent
E01014290,About Better Care (ABC) PCN,1249,49608,0.02517739074342848,1700,0.7347058823529412,5355,10.794629898403484,Stoke-on-Trent
E01014255,About Better Care (ABC) PCN,1248,49608,0.025157232704402517,2328,0.5360824742268041,6603,13.310353168843736,Stoke-on-Trent
E01014358,About Better Care (ABC) PCN,1209,49608,0.02437106918238994,1672,0.7230861244019139,7812,15.747460087082729,Stoke-on-Trent
E01014250,About Better Care (ABC) PCN,1178,49608,0.023746169972585066,1632,0.7218137254901961,8990,18.122077084341235,Stoke-on-Trent
E01014289,About Better Care (ABC) PCN,1139,49608,0.022960006450572487,1630,0.6987730061349693,10129,20.418077729398483,Stoke-on-Trent
E01014254,About Better Care (ABC) PCN,1109,49608,0.022355265279793583,2843,0.39008090045726346,11238,22.653604257377843,Stoke-on-Trent
E01014249,About Better Care (ABC) PCN,1004,49608,0.02023867118206741,2812,0.35704125177809387,12242,24.677471375584584,Stoke-on-Trent
E01014291,About Better Care (ABC) PCN,982,49608,0.01979519432349621,2202,0.44595821980018163,13224,26.656990807934207,Stoke-on-Trent
E01014354,About Better Care (ABC) PCN,969,49608,0.019533139816158684,2251,0.43047534429142603,14193,28.610304789550074,Stoke-on-Trent
E01014288,About Better Care (ABC) PCN,931,49608,0.018767134333172068,1627,0.5722188076213891,15124,30.487018222867277,Stoke-on-Trent
E01029560,About Better Care (ABC) PCN,817,49608,0.016469117884212223,1689,0.4837181764357608,15941,32.133930011288506,Stoke-on-Trent
E01014252,About Better Care (ABC) PCN,803,49608,0.016186905337848733,1767,0.45444255800792305,16744,33.75262054507338,Stoke-on-Trent
E01014361,About Better Care (ABC) PCN,800,49608,0.016126431220770843,2462,0.3249390739236393,17544,35.36526366715046,Stoke-on-Trent
E01029558,About Better Care (ABC) PCN,799,49608,0.01610627318174488,1871,0.42704436130411544,18343,36.97589098532495,Stoke-on-Trent
E01014355,About Better Care (ABC) PCN,742,49608,0.014957264957264958,2639,0.28116710875331563,19085,38.471617481051446,Stoke-on-Trent
E01029554,About Better Care (ABC) PCN,735,49608,0.014816158684083213,2457,0.29914529914529914,19820,39.953233349459765,Stoke-on-Trent
E01029559,About Better Care (ABC) PCN,716,49608,0.014433155942589905,1569,0.45634161886551944,20536,41.396548943718756,Stoke-on-Trent
E01014256,About Better Care (ABC) PCN,649,49608,0.013082567327850347,2610,0.24865900383141762,21185,42.70480567650379,Stoke-on-Trent
E01014359,About Better Care (ABC) PCN,623,49608,0.012558458313175294,2187,0.2848651120256058,21808,43.96065150782132,Stoke-on-Trent
E01034052,About Better Care (ABC) PCN,606,49608,0.012215771649733915,1348,0.4495548961424332,22414,45.18222867279471,Stoke-on-Trent
E01014294,About Better Care (ABC) PCN,601,49608,0.012114981454604096,1387,0.43330930064888246,23015,46.39372681825512,Stoke-on-Trent
E01014356,About Better Care (ABC) PCN,597,49608,0.012034349298500242,2253,0.26498002663115844,23612,47.597161748105144,Stoke-on-Trent
E01029547,About Better Care (ABC) PCN,594,49608,0.011973875181422351,1758,0.3378839590443686,24206,48.79454926624738,Stoke-on-Trent
E01029568,About Better Care (ABC) PCN,573,49608,0.011550556361877117,1422,0.4029535864978903,24779,49.94960490243509,Stoke-on-Trent
E01014292,About Better Care (ABC) PCN,561,49608,0.011308659893565554,1622,0.34586929716399506,25340,51.08047089179165,Stoke-on-Trent
E01029566,About Better Care (ABC) PCN,543,49608,0.01094581519109821,1420,0.3823943661971831,25883,52.175052410901465,Stoke-on-Trent
E01014244,About Better Care (ABC) PCN,538,49608,0.010845024995968393,1895,0.28390501319261213,26421,53.25955491049831,Stoke-on-Trent
E01014247,About Better Care (ABC) PCN,530,49608,0.010683760683760684,1967,0.26944585663446874,26951,54.32793097887437,Stoke-on-Trent
E01029541,About Better Care (ABC) PCN,519,49608,0.010462022254475085,1918,0.2705943691345151,27470,55.374133204321886,Stoke-on-Trent
E01029542,About Better Care (ABC) PCN,503,49608,0.010139493630059667,1723,0.2919326755658735,27973,56.38808256732785,Stoke-on-Trent
E01014242,About Better Care (ABC) PCN,502,49608,0.010119335591033705,1627,0.30854333128457284,28475,57.40001612643122,Stoke-on-Trent
E01029545,About Better Care (ABC) PCN,456,49608,0.009192065795839382,1560,0.2923076923076923,28931,58.31922270601516,Stoke-on-Trent
E01014241,About Better Care (ABC) PCN,444,49608,0.008950169327527818,1718,0.25844004656577413,29375,59.21423963876794,Stoke-on-Trent
E01029548,About Better Care (ABC) PCN,436,49608,0.00878890501532011,1448,0.3011049723756906,29811,60.093130140299955,Stoke-on-Trent
E01014245,About Better Care (ABC) PCN,424,49608,0.008547008547008548,1874,0.22625400213447172,30235,60.94783099500081,Stoke-on-Trent
E01014263,About Better Care (ABC) PCN,406,49608,0.008184163844541204,1994,0.20361083249749248,30641,61.76624737945493,Stoke-on-Trent
E01029538,About Better Care (ABC) PCN,382,49608,0.007700370907918077,1989,0.19205630970336854,31023,62.53628447024674,Stoke-on-Trent
E01029553,About Better Care (ABC) PCN,375,49608,0.0075592646347363325,1682,0.22294887039239,31398,63.29221093372037,Stoke-on-Trent
E01014253,About Better Care (ABC) PCN,366,49608,0.0073778422835026605,1662,0.22021660649819494,31764,64.02999516207063,Stoke-on-Trent
E01029546,About Better Care (ABC) PCN,352,49608,0.007095629737139171,1394,0.25251076040172166,32116,64.73955813578455,Stoke-on-Trent
E01029603,About Better Care (ABC) PCN,352,49608,0.007095629737139171,1523,0.23112278397898883,32468,65.44912110949846,Stoke-on-Trent
E01014262,About Better Care (ABC) PCN,339,49608,0.006833575229801645,1501,0.22584943371085942,32807,66.13247863247864,Stoke-on-Trent
E01029587,About Better Care (ABC) PCN,336,49608,0.006773101112723754,1152,0.2916666666666667,33143,66.80978874375101,Stoke-on-Trent
E01014257,About Better Care (ABC) PCN,335,49608,0.006752943073697791,1975,0.16962025316455695,33478,67.48508305112078,Stoke-on-Trent
E01014259,About Better Care (ABC) PCN,329,49608,0.006631994839542009,1606,0.20485678704856788,33807,68.14828253507498,Stoke-on-Trent
E01014295,About Better Care (ABC) PCN,328,49608,0.006611836800516046,1704,0.19248826291079812,34135,68.80946621512659,Stoke-on-Trent
E01014248,About Better Care (ABC) PCN,320,49608,0.006450572488308337,1546,0.2069857697283312,34455,69.45452346395743,Stoke-on-Trent
E01014260,About Better Care (ABC) PCN,306,49608,0.006168359941944848,1481,0.20661715057393654,34761,70.07135945815192,Stoke-on-Trent
E01014243,About Better Care (ABC) PCN,299,49608,0.006027253668763103,1458,0.20507544581618656,35060,70.67408482502822,Stoke-on-Trent
E01014261,About Better Care (ABC) PCN,298,49608,0.006007095629737139,1797,0.16583194212576516,35358,71.27479438800194,Stoke-on-Trent
E01014293,About Better Care (ABC) PCN,297,49608,0.005986937590711176,2092,0.14196940726577437,35655,71.87348814707305,Stoke-on-Trent
E01029544,About Better Care (ABC) PCN,293,49608,0.005906305434607321,1478,0.19824086603518268,35948,72.46411869053378,Stoke-on-Trent
E01029586,About Better Care (ABC) PCN,257,49608,0.005180616029672633,1209,0.21257237386269645,36205,72.98218029350106,Stoke-on-Trent
E01014258,About Better Care (ABC) PCN,253,49608,0.00509998387356878,1504,0.16821808510638298,36458,73.49217868085792,Stoke-on-Trent
E01014269,About Better Care (ABC) PCN,250,49608,0.005039509756490888,1856,0.13469827586206898,36708,73.99612965650701,Stoke-on-Trent
E01029543,About Better Care (ABC) PCN,249,49608,0.005019351717464925,1325,0.1879245283018868,36957,74.4980648282535,Stoke-on-Trent
E01029540,About Better Care (ABC) PCN,244,49608,0.004918561522335108,1363,0.17901687454145268,37201,74.98992098048703,Stoke-on-Trent
E01029552,About Better Care (ABC) PCN,207,49608,0.0041727140783744555,1522,0.1360052562417871,37408,75.40719238832446,Stoke-on-Trent
E01014246,About Better Care (ABC) PCN,202,49608,0.004071923883244638,1798,0.11234705228031146,37610,75.81438477664892,Stoke-on-Trent
E01014268,About Better Care (ABC) PCN,201,49608,0.004051765844218675,2749,0.07311749727173518,37811,76.2195613610708,Stoke-on-Trent
E01029567,About Better Care (ABC) PCN,201,49608,0.004051765844218675,1689,0.11900532859680284,38012,76.62473794549265,Stoke-on-Trent
E01014331,About Better Care (ABC) PCN,200,49608,0.004031607805192711,1763,0.11344299489506524,38212,77.02789872601194,Stoke-on-Trent
E01014333,About Better Care (ABC) PCN,193,49608,0.003890501532010966,1413,0.13658881811748053,38405,77.41694887921304,Stoke-on-Trent
E01029593,About Better Care (ABC) PCN,187,49608,0.0037695532978551847,2683,0.06969809914275066,38592,77.79390420899854,Stoke-on-Trent
E01014336,About Better Care (ABC) PCN,182,49608,0.003668763102725367,1842,0.0988056460369164,38774,78.16078051927109,Stoke-on-Trent
E01029539,About Better Care (ABC) PCN,181,49608,0.0036486050636994035,1511,0.11978821972203839,38955,78.52564102564102,Stoke-on-Trent
E01029555,About Better Care (ABC) PCN,173,49608,0.003487340751491695,1718,0.10069848661233993,39128,78.87437510079019,Stoke-on-Trent
E01029602,About Better Care (ABC) PCN,173,49608,0.003487340751491695,2084,0.08301343570057582,39301,79.22310917593937,Stoke-on-Trent
E01014302,About Better Care (ABC) PCN,171,49608,0.003447024673439768,2032,0.08415354330708662,39472,79.56781164328333,Stoke-on-Trent
E01014264,About Better Care (ABC) PCN,164,49608,0.003305918400258023,2015,0.08138957816377171,39636,79.89840348330914,Stoke-on-Trent
E01029564,About Better Care (ABC) PCN,164,49608,0.003305918400258023,1432,0.11452513966480447,39800,80.22899532333496,Stoke-on-Trent
E01014285,About Better Care (ABC) PCN,158,49608,0.0031849701661022414,3354,0.04710793082886106,39958,80.54749233994517,Stoke-on-Trent
E01029561,About Better Care (ABC) PCN,154,49608,0.0031043380099983874,1517,0.1015161502966381,40112,80.85792614094501,Stoke-on-Trent
E01029581,About Better Care (ABC) PCN,153,49608,0.003084179970972424,1610,0.09503105590062112,40265,81.16634413804226,Stoke-on-Trent
E01014341,About Better Care (ABC) PCN,151,49608,0.0030438638929204966,1960,0.0770408163265306,40416,81.4707305273343,Stoke-on-Trent
E01029580,About Better Care (ABC) PCN,150,49608,0.003023705853894533,1400,0.10714285714285714,40566,81.77310111272375,Stoke-on-Trent
E01014266,About Better Care (ABC) PCN,149,49608,0.0030035478148685694,1398,0.10658082975679542,40715,82.07345589421061,Stoke-on-Trent
E01014270,About Better Care (ABC) PCN,149,49608,0.0030035478148685694,1519,0.09809084924292298,40864,82.37381067569747,Stoke-on-Trent
E01014338,About Better Care (ABC) PCN,149,49608,0.0030035478148685694,1571,0.09484404837683004,41013,82.67416545718433,Stoke-on-Trent
E01014273,About Better Care (ABC) PCN,147,49608,0.0029632317368166426,1599,0.09193245778611632,41160,82.97048863086599,Stoke-on-Trent
E01029595,About Better Care (ABC) PCN,147,49608,0.0029632317368166426,1207,0.12178956089478045,41307,83.26681180454766,Stoke-on-Trent
E01014271,About Better Care (ABC) PCN,144,49608,0.002902757619738752,1662,0.08664259927797834,41451,83.55708756652153,Stoke-on-Trent
E01014278,About Better Care (ABC) PCN,137,49608,0.002761651346557007,1348,0.1016320474777448,41588,83.83325270117723,Stoke-on-Trent
E01029588,About Better Care (ABC) PCN,137,49608,0.002761651346557007,1630,0.08404907975460123,41725,84.10941783583293,Stoke-on-Trent
